Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
HSS,HSS5-1/2X5-1/2X.250,HSS5-1/2X5-1/2X1/4,F,17.32,4.77,–,–,5.5,4.8,–,–,–,5.5,4.8,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,20.6,–,20.6,–,21.7,9.32,7.9,2.13,21.7,9.32,7.9,2.13
HSS,HSS5-1/2X5-1/2X.188,HSS5-1/2X5-1/2X3/16,F,13.25,3.63,–,–,5.5,4.98,–,–,–,5.5,4.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,28.6,–,28.6,–,17,7.19,6.17,2.16,17,7.19,6.17,2.16
HSS,HSS5-1/2X5-1/2X.125,HSS5-1/2X5-1/2X1/8,F,9.01,2.46,–,–,5.5,5.15,–,–,–,5.5,5.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,44.4,–,44.4,–,11.8,4.95,4.3,2.19,11.8,4.95,4.3,2.19
HSS,HSS5X5X.500,HSS5X5X1/2,F,28.43,7.88,–,–,5,3.6,–,–,–,5,3.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,7.75,–,7.75,–,26,13.1,10.4,1.82,26,13.1,10.4,1.82
HSS,HSS5X5X.375,HSS5X5X3/8,F,22.37,6.18,–,–,5,3.95,–,–,–,5,3.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,11.3,–,11.3,–,21.7,10.6,8.68,1.87,21.7,10.6,8.68,1.87
HSS,HSS5X5X.313,HSS5X5X5/16,F,19.08,5.26,–,–,5,4.13,–,–,–,5,4.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,19,9.16,7.62,1.9,19,9.16,7.62,1.9
HSS,HSS5X5X.250,HSS5X5X1/4,F,15.62,4.3,–,–,5,4.3,–,–,–,5,4.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,18.5,–,18.5,–,16,7.61,6.41,1.93,16,7.61,6.41,1.93
HSS,HSS5X5X.188,HSS5X5X3/16,F,11.97,3.28,–,–,5,4.48,–,–,–,5,4.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,25.7,–,25.7,–,12.6,5.89,5.03,1.96,12.6,5.89,5.03,1.96
HSS,HSS5X5X.125,HSS5X5X1/8,F,8.16,2.23,–,–,5,4.65,–,–,–,5,4.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,40.1,–,40.1,–,8.8,4.07,3.52,1.99,8.8,4.07,3.52,1.99
HSS,HSS4-1/2X4-1/2X.500,HSS4-1/2X4-1/2X1/2,F,25.03,6.95,–,–,4.5,3.1,–,–,–,4.5,3.1,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,6.68,–,6.68,–,18.1,10.2,8.03,1.61,18.1,10.2,8.03,1.61
HSS,HSS4-1/2X4-1/2X.375,HSS4-1/2X4-1/2X3/8,F,19.82,5.48,–,–,4.5,3.45,–,–,–,4.5,3.45,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,9.89,–,9.89,–,15.3,8.36,6.79,1.67,15.3,8.36,6.79,1.67
HSS,HSS4-1/2X4-1/2X.313,HSS4-1/2X4-1/2X5/16,F,16.96,4.68,–,–,4.5,3.63,–,–,–,4.5,3.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,12.5,–,12.5,–,13.5,7.27,6,1.7,13.5,7.27,6,1.7
HSS,HSS4-1/2X4-1/2X.250,HSS4-1/2X4-1/2X1/4,F,13.91,3.84,–,–,4.5,3.8,–,–,–,4.5,3.8,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,16.3,–,16.3,–,11.4,6.06,5.08,1.73,11.4,6.06,5.08,1.73
HSS,HSS4-1/2X4-1/2X.188,HSS4-1/2X4-1/2X3/16,F,10.7,2.93,–,–,4.5,3.98,–,–,–,4.5,3.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,22.9,–,22.9,–,9.02,4.71,4.01,1.75,9.02,4.71,4.01,1.75
HSS,HSS4-1/2X4-1/2X.125,HSS4-1/2X4-1/2X1/8,F,7.31,2,–,–,4.5,4.15,–,–,–,4.5,4.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,35.8,–,35.8,–,6.35,3.27,2.82,1.78,6.35,3.27,2.82,1.78
HSS,HSS4X4X.500,HSS4X4X1/2,F,21.63,6.02,–,–,4,2.6,–,–,–,4,2.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,5.6,–,5.6,–,11.9,7.7,5.97,1.41,11.9,7.7,5.97,1.41
HSS,HSS4X4X.375,HSS4X4X3/8,F,17.27,4.78,–,–,4,2.95,–,–,–,4,2.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,8.46,–,8.46,–,10.3,6.39,5.13,1.47,10.3,6.39,5.13,1.47
HSS,HSS4X4X.313,HSS4X4X5/16,F,14.83,4.1,–,–,4,3.13,–,–,–,4,3.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,10.7,–,10.7,–,9.14,5.59,4.57,1.49,9.14,5.59,4.57,1.49
HSS,HSS4X4X.250,HSS4X4X1/4,F,12.21,3.37,–,–,4,3.3,–,–,–,4,3.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,7.8,4.69,3.9,1.52,7.8,4.69,3.9,1.52
HSS,HSS4X4X.188,HSS4X4X3/16,F,9.42,2.58,–,–,4,3.48,–,–,–,4,3.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,20,–,20,–,6.21,3.67,3.1,1.55,6.21,3.67,3.1,1.55
HSS,HSS4X4X.125,HSS4X4X1/8,F,6.46,1.77,–,–,4,3.65,–,–,–,4,3.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,4.4,2.56,2.2,1.58,4.4,2.56,2.2,1.58
HSS,HSS3-1/2X3-1/2X.375,HSS3-1/2X3-1/2X3/8,F,14.72,4.09,–,–,3.5,2.45,–,–,–,3.5,2.45,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,7.03,–,7.03,–,6.49,4.69,3.71,1.26,6.49,4.69,3.71,1.26
HSS,HSS3-1/2X3-1/2X.313,HSS3-1/2X3-1/2X5/16,F,12.7,3.52,–,–,3.5,2.63,–,–,–,3.5,2.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,9.03,–,9.03,–,5.84,4.14,3.34,1.29,5.84,4.14,3.34,1.29
HSS,HSS3-1/2X3-1/2X.250,HSS3-1/2X3-1/2X1/4,F,10.51,2.91,–,–,3.5,2.8,–,–,–,3.5,2.8,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,12,–,12,–,5.04,3.5,2.88,1.32,5.04,3.5,2.88,1.32
HSS,HSS3-1/2X3-1/2X188,HSS3-1/2X3-1/2X3/16,F,8.15,2.24,–,–,3.5,2.98,–,–,–,3.5,2.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,17.1,–,17.1,–,4.05,2.76,2.31,1.35,4.05,2.76,2.31,1.35
HSS,HSS3-1/2X3-1/2X.125,HSS3-1/2X3-1/2X1/8,F,5.61,1.54,–,–,3.5,3.15,–,–,–,3.5,3.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,27.2,–,27.2,–,2.9,1.93,1.66,1.37,2.9,1.93,1.66,1.37
