,B,C,D,E
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,349.0,349.0,349.0,349.0
mean,1562756.8280546016,570015.3542545629,380766.24779915204,6325.813883601016
std,184006.77629718903,65442.42345349578,76695.40732597308,2918.63245710906
min,1044334.8271416437,388329.707407697,196850.9255504159,2043.6076127476977
25%,1442689.2303969702,530895.7384385061,326947.6406638719,4286.421226185441
50%,1572761.853300854,569946.0781714228,373028.98454252875,5704.144318776849
75%,1672148.7568258385,602519.013086796,426300.736293594,7321.97250700935
max,2268698.6338476455,1170391.0035910457,678759.3075300589,22100.876561998677
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,30786.323683716535,30240.212168808623,6713.149332361878
std,0.0,9288.454066664242,38075.57742774374,3036.5454867928975
min,0.0,10325.01988695668,0.0,1668.2050629466394
25%,0.0,24465.320665823157,0.0,4690.617435218295
50%,0.0,30133.253886034367,1866.1327223879466,6121.2365983060645
75%,0.0,36189.23398696662,52156.788381781094,8024.513888842706
max,0.0,83370.16535355967,174231.72908399662,28265.245069799697
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1.0,1.0,1.0,1.0
mean,1955638.4976969329,583168.7306392086,344257.47701051383,5729.018650610781
std,,,,
min,1955638.4976969329,583168.7306392086,344257.47701051383,5729.018650610781
25%,1955638.4976969329,583168.7306392086,344257.47701051383,5729.018650610781
50%,1955638.4976969329,583168.7306392086,344257.47701051383,5729.018650610781
75%,1955638.4976969329,583168.7306392086,344257.47701051383,5729.018650610781
max,1955638.4976969329,583168.7306392086,344257.47701051383,5729.018650610781
count,828.0,828.0,828.0,828.0
mean,860123.4767300225,508142.9698638138,357648.9815736804,7784.552702635498
std,145808.2491857869,66585.91147888062,73141.36821757798,3445.8030744126713
min,413684.8216426725,318943.16051507124,174173.02372666044,2417.874734500549
25%,755196.4077949403,469388.5490906904,304225.850267944,5501.495063145338
50%,856964.342172693,504825.7045115149,351605.9398415422,7056.067649751925
75%,957934.7661064486,544470.1229205537,404063.1741786198,9333.452452518271
max,1433607.5342879498,1073474.9698267113,652304.4768239739,37940.2890407502
count,763.0,763.0,763.0,763.0
mean,981927.7631962493,572359.8124407572,393515.07522542943,6171.108977156174
std,176001.93974843243,72516.5649521156,84820.28883549945,2918.437239005159
min,532489.8207283674,367830.66923346027,217285.21609901774,1292.378455698727
25%,867528.7818618778,527201.6171513372,335482.4965293574,4178.762599463815
50%,972247.0050919363,572121.8503944097,385102.2588522199,5534.409788505823
75%,1077274.7507852204,610926.5216538431,442548.8988883491,7601.9286448239645
max,2673090.5722966446,1192227.9057131181,809320.1716231762,25145.122859650335
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,35973.59481039334,55410.289267450986,7186.399646506838
std,0.0,9977.950936052943,45658.72874998719,3203.3177634918297
min,0.0,10637.689981898839,0.0,2042.5223208718169
25%,0.0,28887.185752830956,4725.875678653822,4997.769162951866
50%,0.0,35216.452690709906,50783.15795003119,6457.323082464671
75%,0.0,41437.51448317276,85442.8071776907,8733.249964519415
max,0.0,85755.7698539507,233516.2981008457,26573.519885724047
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,44080.53651966126,45085.80737686747,6590.098181508097
std,0.0,11759.154507285453,43127.783951529775,3106.8364498514047
min,0.0,15294.740904880735,0.0,1522.699203692821
