,B,C,D,E
mean,2229.099415236708,81567.7903995488,188998.28852855854,7981.129693104909
std,5885.982183470296,24860.258217134146,53371.43952237841,3555.7955315482945
min,0.0,38922.09617299181,48940.43946858752,2440.352392784398
25%,0.0,66293.56114239697,152279.75163712978,5541.426237717253
50%,211.91273522050082,77679.88869742412,186975.07694073475,7302.3496304414975
75%,1709.2486828443293,92090.41103122567,220996.88664334055,9471.935127990693
max,89580.02213697124,341798.42461629806,426535.7402951666,34768.395261047
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,2453.5879429222987,153101.65931315703,193144.28405241782,7840.985561350355
std,6312.16602375561,45090.387195060524,53109.45007807145,3423.3648151138186
min,0.0,77088.4012021543,38812.60815869181,2214.641850093849
25%,0.0,126334.11224000521,157469.82474715615,5352.52661276646
50%,414.0280295695188,148199.45479217454,190418.6155274721,7206.870574332454
75%,2732.4577250216657,171988.66171045002,228693.88438915688,9486.410799009263
max,110763.95940590983,971571.7718558667,415617.04602768435,27665.053582501194
count,1000.0,1000.0,1000.0,1000.0
mean,399.03015933415594,49900.129821366725,196932.91390494377,6731.772021317366
std,1900.299357522481,25899.403279109956,53025.01952416033,3141.3337061541974
min,0.0,16025.428392779668,52561.692882845105,2033.5099860159194
25%,0.0,36880.144879953834,159471.44090728462,4639.988611428063
50%,0.0,44644.10566919594,194565.01244791664,6134.063676358195
