,B,C,D,E
min,92.83511862721737,75174.55192851658,84637.53267413711,1817.834578872264
25%,6257.071941813225,167863.4555585077,207393.76512842297,4511.257620887064
50%,12839.722987547248,199152.00924504703,240613.34074777656,5958.402619692163
75%,26977.123821378675,234593.59605111528,281509.53284895775,8101.240815126508
max,370650.9529121317,638798.3275966763,453767.86642129463,20184.181291445304
count,1000.0,1000.0,1000.0,1000.0
mean,0.8029083560089506,53830.70366922498,44754.85198505861,6090.384106105456
std,25.39019157369625,13676.358958880419,43321.78250977919,3032.558299960402
min,0.0,21741.312471284466,0.0,1874.4814689894986
25%,0.0,44402.87581645879,1014.7228114542814,4010.206968906594
50%,0.0,52215.39975175303,41838.35234948837,5406.133474840579
75%,0.0,61219.570791575155,71281.76434749161,7350.12484789398
max,802.9083560089506,135129.09258801368,236150.52102953847,30660.565463525396
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,18587.47677830347,57133.60274834892,5745.059631167567
std,0.0,7987.06446904503,43856.17164054587,2840.4927047510237
min,0.0,1926.7347547461843,0.0,1234.1190245104613
25%,0.0,12644.229004304103,24420.016276336613,3772.1332356260314
50%,0.0,17729.718761973912,52780.734790483904,5152.999865920758
75%,0.0,23243.850895918207,85073.80198939545,6935.676285667192
max,0.0,63586.644165580874,235487.63317063992,29499.963738256934
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,10723.689844089982,25974.67723856208,7774.911092953394
std,0.0,6236.40337536665,36762.004182756624,3376.483453007936
min,0.0,266.6505260948954,0.0,2041.3368142202014
25%,0.0,6136.720435673316,0.0,5356.239194572488
50%,0.0,9314.78552348198,720.2336822728146,7016.259829794798
75%,0.0,14275.924009979784,47333.05963610283,9434.377560531677
max,0.0,79827.98350202313,219903.4125266719,31484.887635376806
count,1000.0,1000.0,1000.0,1000.0
mean,7.807047517422709,50923.2557813032,106088.63618185425,6114.630469504586
std,148.36173773108536,20171.2655979142,50663.34283349319,2793.0956373791187
min,0.0,21216.22839163507,0.0,1381.803354162951
25%,0.0,41011.718589130694,69437.88215143347,4127.931994940995
50%,0.0,48896.104505558455,104400.05863014996,5539.394387081997
75%,0.0,57931.14317461196,140514.78598155978,7494.625296493075
max,4405.473727059946,530176.302595012,261044.99322985025,23665.98016504809
count,1000.0,1000.0,1000.0,1000.0
mean,143.83577924587019,15097.175515046098,135988.74079368977,7769.618182949415
std,1063.5432761536258,7743.665348117072,51455.223853719865,3335.9037277417374
min,0.0,1182.2625359315857,3964.7667750610613,2500.9438979441907
25%,0.0,9763.803880548949,98165.18004180235,5406.466547910794
50%,0.0,13738.98824394232,134704.07892987801,7096.066775960837
75%,0.0,19516.793124519354,171469.56213254365,9176.90667786016
max,21228.645129088036,75033.1123888267,341248.80942217226,28964.150702002415
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,37159.652898785185,77739.13469262111,7820.575324457852
std,0.0,11267.135509145948,48884.75865952733,3526.575554122165
min,0.0,10461.43673774555,0.0,2646.675679481751
25%,0.0,30252.202053263456,42307.14368542189,5427.551624648842
50%,0.0,35844.745505850966,74418.07669102211,7079.925638585456
75%,0.0,42611.138444270924,108094.13081519109,9291.5707785409
max,0.0,137748.64862115198,252092.63260086335,33083.61097121913
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,15688.67518427886,101823.93487623548,5812.2491637135145
std,0.0,9383.596157972295,48639.381198416515,2748.261370358935
min,0.0,1237.2575584810902,0.0,1442.6982472174109
25%,0.0,9646.289228577018,64824.1427969496,3892.8538502342753
50%,0.0,14107.3019290944,98641.40254934672,5230.815712922152
75%,0.0,19773.912629792652,133280.52624632567,6951.8888621457445
max,0.0,153802.72907904492,308452.23606501915,24795.916346745762
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,368.0,368.0,368.0,368.0
mean,1555525.2295695238,571011.0112682672,372552.8523913314,6156.466243663143
